City,Climate
Exmouth,"high humidity summer, warm winter"
Dampier,"high humidity summer, warm winter"
Port Hedland,"high humidity summer, warm winter"
Broome,"high humidity summer, warm winter"
Derby,"high humidity summer, warm winter"
Wyndham,"high humidity summer, warm winter"
Timber Creek,"high humidity summer, warm winter"
Katherine,"high humidity summer, warm winter"
Darwin,"high humidity summer, warm winter"
Oenoelli,"high humidity summer, warm winter"
Nhulunbuy,"high humidity summer, warm winter"
Borroloola,"high humidity summer, warm winter"
Burketown,"high humidity summer, warm winter"
Weipa,"high humidity summer, warm winter"
Cooktown,"high humidity summer, warm winter"
Cairns,"high humidity summer, warm winter"
Christmas Island,"high humidity summer, warm winter"
Cocos Island,"high humidity summer, warm winter"
Karratha,"high humidity summer, warm winter"
Townsville,"high humidity summer, warm winter"
Carnarvon,"hot dry summer, warm winter"
Gascoyne Junction,"hot dry summer, warm winter"
Newman,"hot dry summer, warm winter"
Telfer,"hot dry summer, warm winter"
Yulara,"hot dry summer, warm winter"
Kulgera,"hot dry summer, warm winter"
Alice Springs,"hot dry summer, warm winter"
Tennant Creek,"hot dry summer, warm winter"
Elliot,"hot dry summer, warm winter"
Mount Isa,"hot dry summer, warm winter"
Birdsville,"hot dry summer, warm winter"
Longreach,"hot dry summer, warm winter"
Charieville,"hot dry summer, warm winter"
Thargomindah,"hot dry summer, warm winter"
Taroom,"hot dry summer, warm winter"
Goondiwindi,"hot dry summer, warm winter"
Mackay,"warm humid summer, mild winter"
Rockhampton,"warm humid summer, mild winter"
Maryborough,"warm humid summer, mild winter"
Brisbane,"warm humid summer, mild winter"
Coffs Harbour,"warm humid summer, mild winter"
Yalgoo,"hot dry summer, cool winter"
Wiluna,"hot dry summer, cool winter"
Warburton,"hot dry summer, cool winter"
Merredin,"hot dry summer, cool winter"
Newdegate,"hot dry summer, cool winter"
Kalgoorlie-Boulder,"hot dry summer, cool winter"
Norseman,"hot dry summer, cool winter"
Amata,"hot dry summer, cool winter"
Dodnadatta,"hot dry summer, cool winter"
Coober Pedy,"hot dry summer, cool winter"
Innamincka,"hot dry summer, cool winter"
Tibooburra,"hot dry summer, cool winter"
Broken Hill,"hot dry summer, cool winter"
Mildura,"hot dry summer, cool winter"
Bourke,"hot dry summer, cool winter"
Ivanhoe,"hot dry summer, cool winter"
Griffith,"hot dry summer, cool winter"
Albury Wodonga,"hot dry summer, cool winter"
Dubbo,"hot dry summer, cool winter"
Tamworth,"hot dry summer, cool winter"
Geraldton,warm temperate
Perth,warm temperate
Bunbury,warm temperate
Margaret River,warm temperate
Esperance,warm temperate
Eucia,warm temperate
Nullarbor,warm temperate
Ceduna,warm temperate
Port Lincoin,warm temperate
Whyalla,warm temperate
Leigh Creek,warm temperate
Adelalde,warm temperate
Renmark,warm temperate
Port Macquarie,warm temperate
Newcastle,warm temperate
Sydney,warm temperate
Wollongong,warm temperate
Albany,mild temperate
Burra,mild temperate
Kingscote,mild temperate
Kingston SE,mild temperate
Mount Gambier,mild temperate
Lakes Entrance,mild temperate
Melbourne,mild temperate
Shepparton,mild temperate
Bathurst,cool temperate
Canberra,cool temperate
Ballarat,cool temperate
Armidale,cool temperate
Ballarat,cool temperate
Bellingen Shire – Dorrigo Plateau,cool temperate
Goulburn,cool temperate
Orange,cool temperate
Bicheno,cool temperate
Deloraine,cool temperate
Devonport,cool temperate
Flinders Island,cool temperate
Hobart,cool temperate
Huonville,cool temperate
King Island,cool temperate
Launceston,cool temperate
New Norfolk,cool temperate
Oatlands,cool temperate
Orford,cool temperate
Rossarden,cool temperate
Smithton,cool temperate
St Marys,cool temperate
Zeehan,cool temperate
Ararat,cool temperate
Bright,cool temperate
Hamilton,cool temperate
Wangaratta,cool temperate
